dataset,treatment,budget,time
SS-J,bonr,40,538.1331
SS-J,bonr,9,103.5253
SS-J,EI,15,716.8113
SS-J,EI,40,1710.2329
SS-J,EI,9,389.4048
SS-J,ExpProgressive,15,216.3993
SS-J,ExpProgressive,40,503.676
SS-J,ExpProgressive,9,110.657
SS-J,PI,15,668.2015
SS-J,PI,40,1696.198
SS-J,PI,9,377.684
SS-J,progressive,15,207.0695
SS-J,progressive,40,498.2675
SS-J,progressive,9,107.4338
SS-J,rand,15,4.3466
SS-J,rand,40,4.6512
SS-J,rand,9,4.4726
SS-J,SimAnnealing,15,222.5676
SS-J,SimAnnealing,40,483.591
SS-J,SimAnnealing,9,95.7962
SS-J,UCB,15,689.6161
SS-J,UCB,40,1766.9824
SS-J,UCB,9,364.5637
SS-K,b2,15,138.017
SS-K,b2,40,381.0819
SS-K,b2,9,61.1008
SS-K,base,,2.9056
SS-K,bonr,15,151.4085
SS-K,bonr,40,415.8183
SS-K,bonr,9,61.4476
SS-K,EI,15,605.925
SS-K,EI,40,1373.3297
SS-K,EI,9,306.9764
SS-K,ExpProgressive,15,136.7199
SS-K,ExpProgressive,40,391.0689
SS-K,ExpProgressive,9,69.0376
SS-K,PI,15,570.8464
SS-K,PI,40,1340.3973
SS-K,PI,9,286.4908
SS-K,progressive,15,146.3282
SS-K,progressive,40,373.4212
SS-K,progressive,9,64.2908
SS-K,rand,15,3.5017
SS-K,rand,40,3.4565
SS-K,rand,9,3.695
SS-K,SimAnnealing,15,159.1387
SS-K,SimAnnealing,40,402.4954
SS-K,SimAnnealing,9,61.9711
SS-K,UCB,15,547.1516
SS-K,UCB,40,1342.436
SS-K,UCB,9,288.5437
SS-O,b2,15,115.5391
SS-O,b2,40,354.3205
SS-O,b2,9,61.0321
SS-O,base,,1.3651
SS-O,bonr,15,124.9311
SS-O,bonr,40,350.0879
SS-O,bonr,9,60.9864
SS-O,EI,15,243.0437
SS-O,EI,40,702.0169
SS-O,EI,9,124.1135
SS-O,ExpProgressive,15,120.4885
SS-O,ExpProgressive,40,334.87
SS-O,ExpProgressive,9,61.8198
SS-O,PI,15,256.6226
SS-O,PI,40,676.3347
SS-O,PI,9,117.8335
